 NP
  0.000000000000000E+000  !scissors operator
5.6091
     3.3231136     0.0000000     0.0000000
     0.0000000     4.3489554     0.0000000
     0.0000000     0.0000000    10.5137048
 written on 19Apr2023 at 22:44:49 
          32
          81
    4    2    2    2    2    2    2    2    4    2    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    2    4    2    2
    2    2    2    2    2    4
   -4   -4    0    4    7    0.000786    0.000066
   -4   -4    0    5    7    0.001213    0.000039
   -4   -4    0    6    7   -0.000186   -0.000164
   -4   -4    0    7    7   -0.002023   -0.000000
   -4   -4    0    8    7    0.000205   -0.000248
   -4   -4    0    9    7    0.001095   -0.000011
   -4   -4    0   10    7    0.000414    0.000016
   -4   -4    0   11    7    0.000053   -0.000207
   -4   -4    0   12    7    0.000997   -0.000464
   -4   -4    0   13    7   -0.000709   -0.000048
   -4   -4    0   14    7    0.000682    0.000008
   -4   -4    0   15    7   -0.000136   -0.000099
   -4   -4    0   16    7    0.000315    0.000072
   -4   -4    0   17    7   -0.001253    0.000017
   -4   -4    0   18    7   -0.000233   -0.000348
   -4   -4    0   19    7   -0.001317    0.000024
   -4   -4    0   20    7   -0.000077   -0.000364
   -4   -4    0   21    7    0.000522    0.000093
   -4   -4    0   22    7   -0.000787    0.000195
   -4   -4    0   23    7   -0.000119   -0.000048
   -4   -4    0   24    7   -0.000705    0.000218
   -4   -4    0   25    7    0.000200    0.000021
   -4   -4    0   26    7    0.000374    0.000010
   -4   -4    0   27    7   -0.000565   -0.000022
   -4   -4    0   28    7   -0.000639    0.000034
   -4   -4    0   29    7    0.001607   -0.000061
   -4   -4    0   30    7   -0.000222    0.000018
   -4   -4    0   31    7    0.000051    0.000045
   -4   -4    0   32    7   -0.001584   -0.000001
   -4   -4    0    1    8    0.000406    0.000148
   -4   -4    0    2    8    0.000575    0.000281
   -4   -4    0    3    8    0.000801   -0.000067
   -4   -4    0    4    8   -0.000197    0.000191
   -4   -4    0    5    8    0.000197    0.000258
   -4   -4    0    6    8   -0.000251    0.001182
   -4   -4    0    7    8    0.000205    0.000248
   -4   -4    0    8    8   -0.000360   -0.000000
   -4   -4    0    9    8   -0.000974   -0.000121
   -4   -4    0   10    8    0.000236    0.001032
   -4   -4    0   11    8    0.001239    0.000262
   -4   -4    0   12    8    0.000234   -0.000284
   -4   -4    0   13    8   -0.000134   -0.000036
   -4   -4    0   14    8   -0.000535    0.000248
   -4   -4    0   15    8    0.000130    0.000030
   -4   -4    0   16    8   -0.000234   -0.000247
   -4   -4    0   17    8    0.000094    0.000098
   -4   -4    0   18    8    0.000458   -0.001242
   -4   -4    0   19    8   -0.000104   -0.000097
   -4   -4    0   20    8    0.000867   -0.000674
   -4   -4    0   21    8   -0.000687   -0.000245
   -4   -4    0   22    8   -0.000106   -0.000717
   -4   -4    0   23    8    0.000237    0.000031
   -4   -4    0   24    8    0.000460   -0.000168
   -4   -4    0   25    8    0.000638    0.000033
   -4   -4    0   26    8   -0.000173   -0.000193
   -4   -4    0   27    8    0.000634    0.000022
   -4   -4    0   28    8    0.000935   -0.000039
   -4   -4    0   29    8   -0.001059    0.000249
   -4   -4    0   30    8    0.000494   -0.000456
   -4   -4    0   31    8   -0.000394   -0.000128
   -4   -4    0   32    8    0.000845   -0.000108
   -4   -4    0    1    9    0.000153   -0.000072
   -4   -4    0    2    9    0.000017    0.000045
   -4   -4    0    3    9    0.000716   -0.000027
   -4   -4    0    4    9    0.000139    0.000000
   -4   -4    0    5    9    0.000046   -0.000393
   -4   -4    0    6    9    0.000402   -0.000369
   -4   -4    0    7    9    0.001095    0.000011
   -4   -4    0    8    9   -0.000974    0.000121
   -4   -4    0    9    9   -0.002050   -0.000000
   -4   -4    0   10    9   -0.000204   -0.000002
   -4   -4    0   11    9    0.001224   -0.000037
   -4   -4    0   12    9   -0.000192   -0.000132
   -4   -4    0   13    9    0.000297    0.000012
   -4   -4    0   14    9   -0.000726    0.000022
   -4   -4    0   15    9    0.000185    0.000113
   -4   -4    0   16    9    0.000023    0.000134
   -4   -4    0   17    9   -0.000059    0.000088
   -4   -4    0   18    9    0.000567   -0.000184
   -4   -4    0   19    9    0.000645   -0.000064
   -4   -4    0   20    9   -0.000378   -0.000305
   -4   -4    0   21    9   -0.000554   -0.000022
   -4   -4    0   22    9    0.000350    0.000058
   -4   -4    0   23    9    0.000183    0.000011
   -4   -4    0   24    9    0.000615   -0.000055
   -4   -4    0   25    9   -0.000123    0.000040
   -4   -4    0   26    9   -0.000772    0.000260
   -4   -4    0   27    9    0.000520   -0.000079
   -4   -4    0   28    9    0.000686   -0.000257
   -4   -4    0   29    9   -0.001867    0.000042
   -4   -4    0   30    9    0.000152    0.000234
   -4   -4    0   31    9   -0.001407    0.000134
   -4   -4    0   32    9    0.000885   -0.000337
   -4   -4    0    1   10   -0.000676    0.000009
   -4   -4    0    2   10    0.000232   -0.000505
   -4   -4    0    3   10    0.000669   -0.000037
   -4   -4    0    4   10   -0.000510   -0.000303
   -4   -4    0    5   10   -0.000342   -0.000365
   -4   -4    0    6   10    0.000124   -0.001009
   -4   -4    0    7   10    0.000414   -0.000016
   -4   -4    0    8   10    0.000236   -0.001032
   -4   -4    0    9   10   -0.000204    0.000002
   -4   -4    0   10   10   -0.000056   -0.000000
   -4   -4    0   11   10   -0.000202    0.000004
   -4   -4    0   12   10    0.000202   -0.000576
   -4   -4    0   13   10    0.000712    0.000048
   -4   -4    0   14   10   -0.000060   -0.000017
   -4   -4    0   15   10    0.000561    0.000174
   -4   -4    0   16   10    0.000116    0.000020
   -4   -4    0   17   10    0.000199   -0.000015
   -4   -4    0   18   10    0.000401    0.000149
   -4   -4    0   19   10    0.000793    0.000267
   -4   -4    0   20   10    0.000413   -0.001175
   -4   -4    0   21   10    0.000358   -0.000045
   -4   -4    0   22   10    0.000619    0.000018
   -4   -4    0   23   10    0.000349   -0.000063
   -4   -4    0   24   10   -0.000297   -0.000641
   -4   -4    0   25   10    0.000210    0.000001
   -4   -4    0   26   10   -0.000397    0.000475
   -4   -4    0   27   10   -0.000791   -0.000204
   -4   -4    0   28   10    0.000092   -0.000749
   -4   -4    0   29   10   -0.000144   -0.000252
   -4   -4    0   30   10   -0.000328    0.001112
   -4   -4    0   31   10    0.000141    0.000243
   -4   -4    0   32   10    0.000910   -0.001116
   -4   -4    0    1   11   -0.000718   -0.000015
   -4   -4    0    2   11    0.000005    0.000053
   -4   -4    0    3   11   -0.000154    0.000074
   -4   -4    0    4   11    0.000145    0.000005
   -4   -4    0    5   11   -0.001452   -0.000037
   -4   -4    0    6   11   -0.000341   -0.000141
   -4   -4    0    7   11    0.000053    0.000207
   -4   -4    0    8   11    0.001239   -0.000262
   -4   -4    0    9   11    0.001224    0.000037
   -4   -4    0   10   11   -0.000202   -0.000004
   -4   -4    0   11   11   -0.002046   -0.000000
   -4   -4    0   12   11   -0.000189   -0.000138
   -4   -4    0   13   11   -0.000177    0.000115
   -4   -4    0   14   11    0.000542   -0.000169
   -4   -4    0   15   11    0.000065   -0.000000
   -4   -4    0   16   11    0.000421    0.000058
   -4   -4    0   17   11    0.001588    0.000186
   -4   -4    0   18   11   -0.000360   -0.000070
   -4   -4    0   19   11    0.000736    0.000116
   -4   -4    0   20   11    0.001086   -0.000333
   -4   -4    0   21   11    0.000184    0.000021
   -4   -4    0   22   11    0.000363    0.000062
   -4   -4    0   23   11   -0.000553   -0.000019
   -4   -4    0   24   11    0.000604   -0.000032
   -4   -4    0   25   11   -0.000562   -0.000082
   -4   -4    0   26   11    0.000235    0.000071
   -4   -4    0   27   11   -0.000111    0.000057
   -4   -4    0   28   11   -0.000237    0.000036
   -4   -4    0   29   11    0.001412   -0.000051
   -4   -4    0   30   11    0.000136    0.000243
   -4   -4    0   31   11    0.001863   -0.000044
   -4   -4    0   32   11    0.000891   -0.000314
   -4   -4    0    1   12   -0.000342    0.000034
   -4   -4    0    2   12   -0.000040    0.000519
   -4   -4    0    3   12    0.000330   -0.000048
   -4   -4    0    4   12   -0.000121    0.000364
   -4   -4    0    5   12   -0.001221    0.000241
   -4   -4    0    6   12   -0.000213    0.001412
   -4   -4    0    7   12    0.000997    0.000464
   -4   -4    0    8   12    0.000234    0.000284
   -4   -4    0    9   12   -0.000192    0.000132
   -4   -4    0   10   12    0.000202    0.000576
   -4   -4    0   11   12   -0.000189    0.000138
   -4   -4    0   12   12   -0.000261   -0.000000
   -4   -4    0   13   12   -0.000001    0.000122
   -4   -4    0   14   12    0.000051    0.000093
   -4   -4    0   15   12    0.000428    0.000008
   -4   -4    0   16   12    0.000286   -0.000088
   -4   -4    0   17   12    0.001600    0.000381
   -4   -4    0   18   12   -0.000006   -0.000975
   -4   -4    0   19   12    0.000948   -0.000090
   -4   -4    0   20   12    0.000872   -0.000440
   -4   -4    0   21   12   -0.000603   -0.000028
   -4   -4    0   22   12    0.000293   -0.000589
   -4   -4    0   23   12   -0.000614   -0.000017
   -4   -4    0   24   12    0.001037   -0.000041
   -4   -4    0   25   12   -0.000216   -0.000089
   -4   -4    0   26   12    0.000143   -0.000233
   -4   -4    0   27   12    0.000702    0.000201
   -4   -4    0   28   12    0.000453    0.000123
   -4   -4    0   29   12   -0.000871    0.000245
   -4   -4    0   30   12    0.000943   -0.000951
   -4   -4    0   31   12    0.000860   -0.000268
   -4   -4    0   32   12    0.001547    0.000152
   -4   -4    0    1   13    0.000078   -0.000388
   -4   -4    0    2   13   -0.000404    0.000414
   -4   -4    0    3   13   -0.001079    0.000020
   -4   -4    0    4   13    0.000966   -0.000061
   -4   -4    0    5   13    0.000142   -0.000100
   -4   -4    0    6   13   -0.000009   -0.000060
   -4   -4    0    7   13   -0.000709    0.000048
   -4   -4    0    8   13   -0.000134    0.000036
   -4   -4    0    9   13    0.000297   -0.000012
   -4   -4    0   10   13    0.000712   -0.000048
   -4   -4    0   11   13   -0.000177   -0.000115
   -4   -4    0   12   13   -0.000001   -0.000122
   -4   -4    0   13   13   -0.002030   -0.000000
   -4   -4    0   14   13    0.000191   -0.000034
   -4   -4    0   15   13   -0.001212    0.000036
   -4   -4    0   16   13    0.000187    0.000170
   -4   -4    0   17   13   -0.000572    0.000018
   -4   -4    0   18   13   -0.000351   -0.000047
   -4   -4    0   19   13   -0.000197    0.000021
   -4   -4    0   20   13   -0.000614    0.000025
   -4   -4    0   21   13   -0.000046    0.000108
   -4   -4    0   22   13   -0.000593    0.000185
   -4   -4    0   23   13   -0.000637    0.000033
   -4   -4    0   24   13    0.000385    0.000318
   -4   -4    0   25   13   -0.001820    0.000040
   -4   -4    0   26   13   -0.000126   -0.000234
   -4   -4    0   27   13    0.001385   -0.000133
   -4   -4    0   28   13   -0.000891    0.000330
   -4   -4    0   29   13   -0.000114    0.000008
   -4   -4    0   30   13    0.000770   -0.000258
   -4   -4    0   31   13   -0.000530    0.000076
   -4   -4    0   32   13   -0.000677    0.000266
   -4   -4    0    1   14    0.000338    0.000400
   -4   -4    0    2   14    0.000125   -0.001087
   -4   -4    0    3   14    0.000404   -0.000042
   -4   -4    0    4   14    0.000215   -0.001171
   -4   -4    0    5   14    0.000681    0.000013
   -4   -4    0    6   14    0.000217   -0.000429
   -4   -4    0    7   14    0.000682   -0.000008
   -4   -4    0    8   14   -0.000535   -0.000248
   -4   -4    0    9   14   -0.000726   -0.000022
   -4   -4    0   10   14   -0.000060    0.000017
   -4   -4    0   11   14    0.000542    0.000169
   -4   -4    0   12   14    0.000051   -0.000093
   -4   -4    0   13   14    0.000191    0.000034
   -4   -4    0   14   14   -0.000010   -0.000000
   -4   -4    0   15   14   -0.000196   -0.000027
   -4   -4    0   16   14    0.000204   -0.000547
   -4   -4    0   17   14   -0.000361    0.000058
   -4   -4    0   18   14    0.000599   -0.000018
   -4   -4    0   19   14    0.000355   -0.000064
   -4   -4    0   20   14   -0.000307   -0.000561
   -4   -4    0   21   14   -0.000221    0.000005
   -4   -4    0   22   14    0.000372    0.000224
   -4   -4    0   23   14    0.000764    0.000274
   -4   -4    0   24   14    0.000374   -0.001143
   -4   -4    0   25   14    0.000123    0.000256
   -4   -4    0   26   14   -0.000330    0.001102
   -4   -4    0   27   14    0.000130    0.000257
   -4   -4    0   28   14    0.000915   -0.001001
   -4   -4    0   29   14   -0.000230   -0.000008
   -4   -4    0   30   14   -0.000360    0.000469
   -4   -4    0   31   14   -0.000770   -0.000206
   -4   -4    0   32   14    0.000025   -0.000805
   -4   -4    0    1   15    0.001452    0.000054
   -4   -4    0    2   15   -0.000350   -0.000150
   -4   -4    0    3   15    0.000067    0.000212
   -4   -4    0    4   15    0.001248   -0.000316
   -4   -4    0    5   15    0.000714   -0.000001
   -4   -4    0    6   15    0.000005    0.000055
   -4   -4    0    7   15   -0.000136    0.000099
   -4   -4    0    8   15    0.000130   -0.000030
   -4   -4    0    9   15    0.000185   -0.000113
   -4   -4    0   10   15    0.000561   -0.000174
   -4   -4    0   11   15    0.000065    0.000000
   -4   -4    0   12   15    0.000428   -0.000008
   -4   -4    0   13   15   -0.001212   -0.000036
   -4   -4    0   14   15   -0.000196    0.000027
   -4   -4    0   15   15   -0.002031   -0.000000
   -4   -4    0   16   15   -0.000182   -0.000172
   -4   -4    0   17   15   -0.000201    0.000009
   -4   -4    0   18   15    0.000360    0.000063
   -4   -4    0   19   15   -0.000571    0.000022
   -4   -4    0   20   15    0.000610   -0.000016
